Accepted,ActionDate,ActionDescription,ActionType,CompletionDate,ContactId,CreatedBy,CreationDate,CreationNotes,Id,IsAppointment,LastUpdated,LastUpdatedBy,ObjectType,OpportunityId,Priority,UserID,_SourceAppActionID
1,2015-05-28 16:13:58,Changed Info for June Strategy Class PLUS Live Trading - 2015,UPDATE,2015-05-28 16:13:58,812589,-1,2015-05-28 16:13:58,"This contact was modified on 5/28/2015 4:13 PM because of a discrepancy in data while updating.

OLD INFORMATION:
Phone1=
StreetAddress1=
City=
State=null
PostalCode=null
Country=null
FirstName=Steve
LastName=
ContactNotes=
",8665,0,2015-05-28 16:13:58,-1,Note,,3,"",8665
1,2015-05-29 12:07:24,Changed Info for June Strategy Class - 2015,UPDATE,2015-05-29 12:07:24,812511,64644,2015-05-29 12:07:24,"This contact was modified on 5/29/2015 12:07 PM because of a discrepancy in data while updating.

OLD INFORMATION:
Phone1=
StreetAddress1=
City=
State=null
PostalCode=null
Country=null
FirstName=KR
LastName=
ContactNotes=
",8834,0,2015-05-29 12:07:24,64644,Note,,3,"",8834
1,2015-09-10 10:34:41,Test,note,2015-09-10 10:34:41,1410153,38809,2015-09-10 10:34:42,"Test

View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1717888",11917,0,2015-09-10 10:34:42,-1,Note,,3,Tucker Stipe,11917
1,2015-09-10 11:38:33,test fuse desk,note,2015-09-10 11:38:33,1410153,89561,2015-09-10 11:38:33,"meeting to test

View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1718020",11923,0,2015-09-10 11:38:33,-1,Note,,3,"",11923
1,2015-09-10 11:41:04,t,note,2015-09-10 11:41:04,1410153,38809,2015-09-10 11:41:04,"t

View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1718023",11925,0,2015-09-10 11:41:04,-1,Note,,3,Tucker Stipe,11925
1,2015-09-10 11:43:16,t,note,2015-09-10 11:43:16,1410153,38809,2015-09-10 11:43:16,"t

View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1718025",11927,0,2015-09-10 11:43:16,-1,Note,,3,Tucker Stipe,11927
1,2015-09-22 21:07:24,"Changed Info for Chris - Webinar - September 23, 2015",UPDATE,2015-09-22 21:07:24,812525,-1,2015-09-22 21:07:24,"This contact was modified on 9/22/2015 9:07 PM because of a discrepancy in data while updating.

OLD INFORMATION:
Phone1=
StreetAddress1=
City=
State=null
PostalCode=null
Country=null
FirstName=Ron
LastName=
ContactNotes=
",12315,0,2015-09-22 21:07:24,-1,Note,,3,"",12315
1,2016-01-13 21:29:24,Chris question,Note,2016-01-13 21:29:24,1410153,64644,2016-01-13 21:29:24,"Can you please forward this email to Chris.

Chris

I appreciate the insight and the teaching that you provide each day in the Simpler Options chat room.  Would you please provide me the inputs you use to set up the MACD indicator you use? I was able to set up the orange line but I was not able to get the blue line shown in your plot.

Thank you.
Mike 
(Mike-DC in the room)


View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1884399",14499,0,2016-01-13 21:29:24,-1,Note,,3,Jared De La Cerda,14499
1,2016-02-16 15:41:40,Introduction to our services. ,Note,2016-02-16 15:41:40,1410153,64644,2016-02-16 15:41:40,"Here are the links to our sites where you can sign up and check out our daily videos. 

The daily videos are free. They are short and concise market analysis on Stocks, ETFs, Options, Futures and Forex trading. Most people start out watching the free videos to get a feel for how these guys see the markets and how they trade them on a day to day basis. 

Exposing your self at least a little bit each day will help you build a feel for how to look at a few stocks or what ever you wanna trade. Once you build that familiarity you will start to be able to make a call on what you think is gonna happen and the rest is history.  

We have a lot of content to offer for free to get you familiar with trading. The free daily videos are great to start with. 

Here are the links to the sites where you can find out more about the traders and what they do everyday to do this for a living. 

www.simplerstocks.com

www.simpleroptions.com

www.simplerfutures.com

www.simplerforex.com

www.fibonacciqueen.com

It'll seem like a ton and probably overwhelming as well but think about it like this. They have all been doing this for over 20 years so if you get exposed to now you will build that intuition pretty quick and from there will always be learning more and more about how to get better at managing the risk involved. Start by signing up for the free videos and check them out for a while. 

Let me know if you have questions or anything and Ill do my best to get you the information you need. 


View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1922239",14677,0,2016-02-16 15:41:40,-1,Note,,3,Jared De La Cerda,14677
1,2016-03-17 20:17:11,Internal notes,Note,2016-03-17 20:17:11,1410153,64644,2016-03-17 20:17:11,"Hey Priyanka, 

Can you refund manipal reddy for his purchase of Chris's class? He called at the start and said he could not do it and wanted a refund. 



View full case history in FuseDesk at: https://pt161.fusedesk.com/app/#cases/view/1956187",15187,0,2016-03-17 20:17:11,-1,Note,,3,Jared De La Cerda,15187
