InvoiceId,PayDate,PayType,PayAmt,PayNote
478407,2012-01-31 16:37:41,Credit Card,5.0,Auto-charge for Invoice #5
478411,2012-01-31 20:38:15,Credit Card,5.0,Auto-charge for Invoice #7
478417,2012-01-31 20:38:35,Credit Card,5.0,Auto-charge for Invoice #9
478425,2012-02-28 19:32:06,Credit Card,9.97,Auto-charge for Invoice #207
478437,2012-03-01 15:07:45,Credit Card,9.97,Auto-charge for Invoice #281
478445,2012-03-07 03:38:31,Credit Card,7.0,Auto-charge for Invoice #359
478455,2012-03-08 10:17:39,Credit Card,7.0,Auto-charge for Invoice #387
478467,2012-03-27 18:01:45,Credit Card,197.0,Auto-charge for Invoice #445
478481,2012-03-27 22:39:53,Credit Card,197.0,Auto-charge for Invoice #459
478497,2012-03-28 08:58:07,Credit Card,7.0,Auto-charge for Invoice #463
478409,2012-03-28 10:22:44,Credit Card,7.0,Auto-charge for Invoice #465
478415,2012-03-28 13:59:53,Credit Card,197.0,
478421,2012-03-28 20:47:54,Credit Card,197.0,Auto-charge for Invoice #471
478433,2012-03-28 20:51:39,Credit Card,197.0,Auto-charge for Invoice #473
478443,2012-03-31 19:09:25,Credit Card,197.0,Auto-charge for Invoice #521
478449,2012-04-09 11:08:23,Credit Card,7.0,Auto-charge for Invoice #581
478461,2012-04-15 12:20:35,Credit Card,7.0,Auto-charge for Invoice #603
478471,2012-04-18 04:56:17,Credit Card,7.0,Auto-charge for Invoice #609
478483,2012-04-18 05:23:00,Credit Card,7.0,Auto-charge for Invoice #611
478501,2012-04-18 09:04:32,Credit Card,7.0,Auto-charge for Invoice #613
478413,2012-04-18 21:29:19,Credit Card,7.0,Auto-charge for Invoice #623
478419,2012-04-18 22:14:22,Credit Card,7.0,Auto-charge for Invoice #627
478431,2012-04-18 22:40:22,Credit Card,7.0,Auto-charge for Invoice #629
478441,2012-04-18 23:24:39,Credit Card,7.0,Auto-charge for Invoice #631
478447,2012-04-19 16:08:07,Credit Card,7.0,Auto-charge for Invoice #645
478463,2012-04-21 17:36:03,Credit Card,7.0,Auto-charge for Invoice #663
478473,2012-04-25 09:54:04,Credit Card,7.0,Auto-charge for Invoice #669
478487,2012-04-25 10:00:48,Credit Card,7.0,Auto-charge for Invoice #671
478505,2012-04-25 19:41:21,Credit Card,7.0,Auto-charge for Invoice #673
478527,2012-04-27 06:48:43,Credit Card,7.0,Auto-charge for Invoice #685
478423,2012-05-02 15:15:39,Credit Card,97.0,Auto-charge for Invoice #741
478429,2012-05-02 18:04:02,Credit Card,97.0,Auto-charge for Invoice #743
478439,2012-05-02 18:08:34,Credit Card,97.0,Auto-charge for Invoice #745
478453,2012-05-03 17:26:04,Credit Card,97.0,Auto-charge for Invoice #757
478457,2012-05-04 11:22:46,Credit Card,7.0,Auto-charge for Invoice #771
478469,2012-05-04 12:17:59,Credit Card,7.0,Auto-charge for Invoice #773
478489,2012-05-04 15:36:42,Credit Card,97.0,Auto-charge for Invoice #775
478503,2012-05-04 17:01:56,Credit Card,7.0,Auto-charge for Invoice #779
478519,2012-05-15 00:13:41,Credit Card,97.0,Auto-charge for Invoice #825
478531,2012-05-15 10:29:23,Credit Card,97.0,
